municipio,uf,latitude,longitude,fonte
Agudos,SP,-22.4694,-48.9878,centroide aproximado
Anhembi,SP,-22.7942,-48.1289,centroide aproximado
Areiópolis,SP,-22.665,-48.665,centroide aproximado
Arúja,SP,-23.3961,-46.3208,centroide aproximado
Bauru,SP,-22.3145,-49.0605,centroide aproximado
Bofete,SP,-23.1022,-48.2578,centroide aproximado
Boituva,SP,-23.2828,-47.6717,centroide aproximado
Botucatu,SP,-22.8858,-48.445,centroide aproximado
Cabreúva,SP,-23.3072,-47.1325,centroide aproximado
Campinas,SP,-22.9099,-47.0626,centroide aproximado
Capivari,SP,-22.9953,-47.5075,centroide aproximado
Carmo Do Cajuru,MG,-20.1836,-44.7714,centroide aproximado
Cerquilho,SP,-23.1656,-47.7444,centroide aproximado
Conchas,SP,-23.0128,-48.0106,centroide aproximado
Córrego Fundo,MG,-20.4675,-45.5544,centroide aproximado
Divinópolis,MG,-20.1389,-44.8839,centroide aproximado
Elias Fausto,SP,-23.0453,-47.3711,centroide aproximado
Formiga,MG,-20.4644,-45.4269,centroide aproximado
Guarulhos,SP,-23.4543,-46.5339,centroide aproximado
Hortolândia,SP,-22.8583,-47.22,centroide aproximado
Indaiatuba,SP,-23.0903,-47.2181,centroide aproximado
Itatinga,SP,-23.1017,-48.6153,centroide aproximado
Itaúna,MG,-20.0756,-44.5764,centroide aproximado
Itu,SP,-23.2637,-47.2992,centroide aproximado
Itupeva,SP,-23.1528,-47.0578,centroide aproximado
Juatuba,MG,-19.9497,-44.3428,centroide aproximado
Jumirim,SP,-23.0894,-47.7869,centroide aproximado
Jundiaí,SP,-23.1857,-46.8978,centroide aproximado
Laranjal Paulista,SP,-23.0489,-47.8369,centroide aproximado
Lençóis Paulista,SP,-22.5989,-48.8006,centroide aproximado
Lençõis Paulista,SP,-22.5989,-48.8006,centroide aproximado
Mombuca,SP,-22.9297,-47.5583,centroide aproximado
Monte Mor,SP,-22.9469,-47.3125,centroide aproximado
Pardinho,SP,-23.0839,-48.3672,centroide aproximado
Passos,MG,-20.7189,-46.6097,centroide aproximado
Pereiras,SP,-23.0797,-47.9739,centroide aproximado
Piracicaba,SP,-22.7253,-47.6492,centroide aproximado
Piumhi,MG,-20.4694,-45.9583,centroide aproximado
Porto Feliz,SP,-23.2153,-47.5236,centroide aproximado
Pratápolis,MG,-20.7442,-46.8783,centroide aproximado
Rafard,SP,-23.0106,-47.5261,centroide aproximado
Rio Claro,SP,-22.4149,-47.5613,centroide aproximado
Rio Das Pedras,SP,-22.8433,-47.606,centroide aproximado
Saltinho,SP,-22.8443,-47.6737,centroide aproximado
Salto,SP,-23.2003,-47.2872,centroide aproximado
Sorocaba,SP,-23.5015,-47.4526,centroide aproximado
São Manoel,SP,-22.7311,-48.5706,centroide aproximado
São Paulo,SP,-23.5505,-46.6333,centroide aproximado
São Sebastião Do Oeste,MG,-20.2422,-44.9083,centroide aproximado
São Sebastião Do Paraíso,MG,-20.9169,-46.9911,centroide aproximado
Tatuí,SP,-23.3556,-47.8569,centroide aproximado
Tietê,SP,-23.1044,-47.7154,centroide aproximado
Variante (Gastão Dal Farra),,,,pendente
