unidade,categoria,tipo,nome,rodovia,km,sentido,municipio,latitude,longitude,qtd_viaturas,viaturas,observacao
Colinas,Base,SAU,Base Operacional - SAU 1,SP075,60.75,Sul,Indaiatuba,,,1.0,GL-1321 / GP-1331 / AB-1301 / IT-1311,
Colinas,Base,SAU,Base Operacional - SAU 2,SP075,24.07,Norte,Itu,,,1.0,GL-1322 / AB-1302 / IT-1312,
Colinas,Base,SAU,Base Operacional - SAU 3,SP300,139.3,Leste,Porto Feliz,,,1.0,GL-1324 / IT-1314,
Colinas,Base,SAU,Base Operacional - SAU 4,SP300,84.2,Oeste,Cabreúva,,,1.0,GL-1323 / GP-1333 / AB-1303 / IT-1313 / CA-1301,
Colinas,Base,SAU,Base Operacional - SAU 5,SP280,104.75,Oeste,Porto Feliz,,,1.0,GL-1325 / GP-1335 / AB-1305 / IT-1315,
Colinas,Base,SAU,Base Operacional - SAU 6,SP127,18.21,Norte,Piracicaba,,,1.0,GL-1326 / AB-1306 / IT-1316,
Colinas,Base,SAU,Base Operacional - SAU 7,SP127,82.6,Norte,Tietê,,,1.0,GL-1327 / AB-1307 / IT-1317,
Colinas,Base,CCO,CCO,SP300,112.0,Oeste,Itu,,,1.0,CP1301,
Colinas,Conservação,Soluciona Conservação,Soluciona Conservação,SP300,137.7,Leste,Porto Feliz,,,24.0,CT-13 \ CT-19 \ CT-24\CT-28 \CT-29 \ CT-30 \ CA-02 \ CB-05 \CB-06 \ CR-03 \ CR-04 \ CR-05 \ CR-06 \ CG-02 \ CGO-02 \ CGR-02 \CSP-02 \ CSV-02 \ CST-02 \ CST-03 \ CSP-03 \CST-04 \CG-03 \ CA-01,
Colinas,Pedágio,Praça de Pedágio,Pedágio Indaiatuba,SP075,60.8,Sul,Indaiatuba,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Bloqueio de Indaiatuba N/S,SP075,62.0,Sul,Indaiatuba,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Rio Claro,SP127,12.625,Norte,Rio Claro,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Rio das Pedras,SP127,58.6,Norte,Rio Das Pedras,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Boituva,SP280,111.6,Leste,Boituva,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Bloqueio de Boituva L/O,SP280,110.8,Leste,Boituva,,,1.0,Não se Aplica,
