unidade,nome,rodovia,km,sentido,municipio,latitude,longitude,observacao
Colinas,Pedágio Indaiatuba,SP075,60.8,Sul,Indaiatuba,,,
Colinas,Pedágio Bloqueio de Indaiatuba N/S,SP075,62.0,Sul,Indaiatuba,,,
Colinas,Pedágio Rio Claro,SP127,12.625,Norte,Rio Claro,,,
Colinas,Pedágio Rio das Pedras,SP127,58.6,Norte,Rio Das Pedras,,,
Colinas,Pedágio Boituva,SP280,111.6,Leste,Boituva,,,
Colinas,Pedágio Bloqueio de Boituva L/O,SP280,110.8,Leste,Boituva,,,
Colinas,Pedágio Itupeva,SP300,76.68,Leste,Itupeva,,,
Colinas,Pedágio Porto Feliz,SP300,136.772,Leste,Porto Feliz,,,
Tietê,Pedágio Monte Mor,SP101,29.7,Leste,Monte Mor,,,
Tietê,Pedágio Rafard,SP101,55.8,Oeste,Rafard,,,
Tietê,Pedágio Conchas,SP300,192.1,Oeste,Conchas,,,
Tietê,Pedágio Anhembi,SP300,228.2,Oeste,Anhembi,,,
Tietê,Pedágio Botucatu,SP300,259.3,Oeste,Botucatu,,,
Tietê,Pedágio Areiópolis,SP300,285.0,Leste,Areiópolis,,,
Tietê,Pedágio Lençóis Paulista,SP300,314.0,Oeste,Lençóis Paulista,,,
Tietê,Pedágio Elias Fausto,SP308,109.3,Sul,Elias Fausto,,,
Tietê,Pedágio Rio das Pedras,SP308,147.3,Norte,Rio Das Pedras,,,
Nascentes,Praça de Pedágio Itaúna,MG050,81.0,Leste,Itaúna,,,
Nascentes,Praça de Pedágio São Sebastião do Oeste,MG050,140.0,Leste,São Sebastião Do Oeste,,,
Nascentes,Praça de Pedágio Córrego Fundo,MG050,219.0,Leste,Córrego Fundo,,,
Nascentes,Praça de Pedágio Piumhi,MG050,270.7,Oeste,Piumhi,,,
Nascentes,Praça de Pedágio Passos,MG050,333.0,Leste,Passos,,,
Nascentes,Praça de Pedágio Pratápolis,MG050,389.2,Leste,Pratápolis,,,
